Model,MAE,MSE,RMSE,MAPE,R2 Score
LSTM Train Temperature,0.3777251977483194,0.23662891203166708,0.4864451788554051,1.484472173267251,0.6799159738611135
LSTM Test Temperature,0.38913509861228435,0.24282745314399512,0.4927752562213277,1.4834166614992588,0.8735819478418254
LSTM Train Relative Humidity,1.4427813218072572,3.4320940645628615,1.852591175775935,1.9065982673457091,0.9483575805792857
LSTM Test Relative Humidity,2.0592861645912404,6.588413290796992,2.56679046491859,2.4690054241319634,0.8407583571282364
Conv1d Train Temperature,0.3724207446485401,0.2324545339062292,0.48213538960154045,1.4655800672430308,0.6855625862955121
Conv1d Test Temperature,0.38226286929386205,0.23888943347447747,0.488763167059955,1.4584117564099321,0.8756321146147141
Conv1d Train Relative Humidity,1.4192854683260663,3.3706523101217822,1.8359336344546286,1.870919215799716,0.9492820892882843
Conv1d Test Relative Humidity,2.0426602967306065,6.441052092104404,2.5379227908083424,2.445024901467359,0.8443200704482157
GRU Train Temperature,0.37978577659832063,0.23373049955750783,0.4834568228471989,1.4928690444673125,0.6838366086059324
GRU Test Temperature,0.3839715079138152,0.24277641687145413,0.49272346896758845,1.4638956316073028,0.8736085177624853
GRU Train Relative Humidity,1.3960093225709052,3.2908060327339923,1.8140578912300436,1.8552305706854562,0.9504835292454866
GRU Test Relative Humidity,1.9947552159896713,6.399753599550781,2.529773428501213,2.400840344822005,0.8453182530928218
